Year,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 10-19 years,thinness 5-9 years,Income composition of resources,Schooling,Status_Developed,Status_Developing,Life expectancy
2015,0.831225468,0.261880145,-1.138087518,-0.358384018,-0.101739399,-0.987357273,0.250083001,-3.400606068,0.942862813,-0.783256927,-0.317912761,-0.49044478,0.359678526,2.729099276,2.685551607,-0.750781144,-0.627590724,-0.450544654,0.450544654,65
2014,0.896481792,0.278185281,-1.138087518,-0.357303061,-0.163251073,-1.012464049,0.26807369,-1.106886609,0.951267479,-0.913854403,-0.317912761,-0.488407565,-0.221724526,2.795473853,2.72888907,-0.765329078,-0.658568886,-0.450544654,0.450544654,59.9
2013,0.872010671,0.294490418,-1.138087518,-0.357449667,-0.169011984,-1.037570824,0.286064379,-0.930446651,0.930255814,-0.826789419,-0.317912761,-0.487042956,0.324789622,2.839723571,2.772226534,-0.794424946,-0.689547048,-0.450544654,0.450544654,59.9
2012,0.904638833,0.318948123,-1.138087518,-0.355057946,0.049995589,-1.062677599,0.310051964,-0.709896703,1.094146801,-0.696191943,-0.317912761,-0.484305348,-0.16308851,2.883973289,2.837232729,-0.828370124,-0.72052521,-0.450544654,0.450544654,59.5
2011,0.929109954,0.335253259,-1.138087518,-0.389301949,0.070995042,-1.082763019,0.33403955,-0.665786713,0.820995156,-0.652659451,-0.317912761,-0.52774869,-0.175589849,2.950347866,2.880570193,-0.872013926,-0.813459695,-0.450544654,0.450544654,59.2
2010,0.961738116,0.359710964,-1.138087518,-0.354337703,-0.024152924,-1.107869795,0.364024031,-0.754006692,1.379905446,-0.739724435,-0.317912761,-0.492660588,-0.177250617,2.994597584,2.923907656,-0.901109793,-0.906394181,-0.450544654,0.450544654,58.8
2009,0.978052197,0.384168669,-1.138087518,-0.365377327,0.056871516,-1.13297657,0.388011617,-0.886336661,1.472356772,-0.870321911,-0.317912761,-0.500357151,-0.222477207,3.038847302,2.988913851,-0.969000151,-0.999328667,-0.450544654,0.450544654,58.6
2008,1.02699444,0.408626374,-1.133040834,-0.380256801,-0.060390918,-1.158083345,0.411999202,-0.842226671,1.014302474,-0.826789419,-0.317912761,-0.505553271,-0.179926028,3.08309702,3.032251315,-0.973849462,-1.061284991,-0.450544654,0.450544654,58.1
2007,1.092250764,0.42493151,-1.135564176,-0.387465132,-0.102947333,-1.183190121,0.429989891,-0.886336661,0.341929193,-0.870321911,-0.317912761,-0.505805821,0.235776961,3.127346738,3.075588778,-1.061137064,-1.154219476,-0.450544654,0.450544654,57.5
2006,1.092250764,0.441236647,-1.133040834,-0.384448916,-0.024060006,-1.208296896,0.44798058,-1.106886609,0.636092504,-1.08798437,-0.317912761,-0.512774275,-0.182363893,3.171596456,3.118926242,-1.109630177,-1.247153962,-0.450544654,0.450544654,57.3
